Title1,Title_URL,authors,paper_link,type,Scholarlink,time_since_pull,query_text_match
Exploring barriers in supply chain disaster management using fuzzy total interpretative structure modeling approach: Insight from Thai automotive industry,https://www.sciencedirect.com/science/article/pii/S1029313223000568,"D Sumrit, O Jongprasittiphol - Asia Pacific Management Review, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1029313223000568,[HTML] sciencedirect.com,,2 days ago,"the coronavirus disease 2019 (COVID-19) pandemic, emerging infectious 
diseases, natural catastrophes, and the Ukraine-Russia war. These unprecedented events could"
Alpha and Delta variants and vaccination effectiveness against severity in COVID-19 inpatients based on medical claims in Japan,https://www.jstage.jst.go.jp/article/ghmo/advpub/0/advpub_2023.01005/_article/-char/ja/,"S Mitsushima, H Horiguchi, K Taniguchi - GHM Open, 2023 - jstage.jst.go.jp",,,https://scholar.google.com/citations?user=mhIGTd0AAAAJ&hl=en&oi=sra,2 days ago,"Some mutated strains of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) 
presumably have high infectivity and pathogenicity. Using Japanese medical"
Development of Spray Dried Spirulina Protein-Berry Pomace Polyphenol Particles to Attenuate Pollution-Induced Skin Damage: A Convergent Food-Beauty …,https://www.mdpi.com/2076-3921/12/7/1431,"RT Hoskin, MH Grace, A Guiotto, A Pecorelli… - Antioxidants, 2023 - mdpi.com",https://www.mdpi.com/2076-3921/12/7/1431,[HTML] mdpi.com,https://scholar.google.com/citations?user=BvCsd-oAAAAJ&hl=en&oi=sra,2 days ago,"such as Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) 
[3,4].  have efficiently improved epidermis structure [19], promoted faster wound healing and"
Are the Post-COVID-19 Posttraumatic Stress Disorder (PTSD) Symptoms Justified by the Effects of COVID-19 on Brain Structure? A Systematic Review,https://www.mdpi.com/2075-4426/13/7/1140,"GD Kotzalidis, OM Ferrara, S Margoni… - Journal of Personalized …, 2023 - mdpi.com",https://www.mdpi.com/2075-4426/13/7/1140,[HTML] mdpi.com,,2 days ago,"We suspected that the coronavirus somehow induces brain morphological and 
… Brain autopsy, microscopic analysis of brain, and SARS-CoV-2 CSF PCR were performed"
Role of the Renin-Angiotensin System in Long COVID's Cardiovascular Injuries,https://www.mdpi.com/2227-9059/11/7/2004,"E Cojocaru, C Cojocaru, CE Vlad, L Eva - Biomedicines, 2023 - mdpi.com",https://www.mdpi.com/2227-9059/11/7/2004,[HTML] mdpi.com,https://scholar.google.com/citations?user=9E85nUAAAAAJ&hl=en&oi=sra,2 days ago,"COVID-19, the disease caused by the novel coronavirus  the Long COVID 
definition: “Long COVID is broadly  develop after initial COVID-19 or SARS-CoV-2 infection."
Multidimensional Machine Learning Model to Calculate a COVID-19 Vulnerability Index,https://www.mdpi.com/2075-4426/13/7/1141,"PA Rosero Perez, JS Realpe Gonzalez… - Journal of Personalized …, 2023 - mdpi.com",https://www.mdpi.com/2075-4426/13/7/1141,[HTML] mdpi.com,,2 days ago,"COVID-19 is a disease caused by a virus called SARS-CoV-2, which was 
first reported on December 31, 2019, upon warning of a cluster of viral pneumonia cases in"
Avaliação da relação entre a poluição atmosférica e parâmetros climáticos com a Covid-19 no Grande ABC paulista,https://ojs.ufgd.edu.br/index.php/rbclima/article/view/16545,"VB da Silva, MC Valverde - Revista Brasileira de Climatologia, 2023 - ojs.ufgd.edu.br",,,https://scholar.google.com/citations?user=VEd2X5IAAAAJ&hl=en&oi=sra,2 days ago,"O novo coronavírus (SARS-CoV-2), com origem no ano  atmosféricos na 
disseminação do SARS-CoV-2, na região  negativas dos dados de Covid-19 com as temperaturas"
COMBATING THE PRESENT COVID-19 AND FUTURE PANDEMICS FOR SECURITY AND ECONOMIC-DEVELOPMENT IN NIGERIA,https://www.researchgate.net/profile/Kate-Wilfred-Bonse-2/publication/372196317_Content_requirements_for_revitalizing_school_curriculum_towards_combating_covid-19_and_future_pandemics_for_security_and_economic_development_in_Nigeria/links/64a9465195bbbe0c6e20abac/Content-requirements-for-revitalizing-school-curriculum-towards-combating-covid-19-and-future-pandemics-for-security-and-economic-development-in-Nigeria.pdf,"KU WILFRED-BONSE, RM ABOHO, VN ANUM - STUDIES - researchgate.net",https://www.researchgate.net/profile/Kate-Wilfred-Bonse-2/publication/372196317_Content_requirements_for_revitalizing_school_curriculum_towards_combating_covid-19_and_future_pandemics_for_security_and_economic_development_in_Nigeria/links/64a9465195bbbe0c6e20abac/Content-requirements-for-revitalizing-school-curriculum-towards-combating-covid-19-and-future-pandemics-for-security-and-economic-development-in-Nigeria.pdf,[PDF] researchgate.net,https://scholar.google.com/citations?user=e8ELzBsAAAAJ&hl=en&oi=sra,2 days ago,"the second wave of coronavirus (COVID-19) pandemic. From the  The 
hike in the spread of coronavirus ( COVID-19)  Respiratory Syndrome Coronavirus 2 (SARS-COV-2)"
The Fight Against Covid-19 in Slovakia and Austria: Lessons for and from Turkey,https://dergipark.org.tr/en/pub/pjess/issue/78984/1258378,"O ERDOĞAN, E AKMAN, C BABAOĞLU - Pamukkale Journal of Eurasian … - dergipark.org.tr",https://dergipark.org.tr/en/download/article-file/2982219,[PDF] dergipark.org.tr,,2 days ago,"In this study, the coronavirus policies of Slovakia and  the mortality rate from 
Covid-19 low compared to other  of Slovakia and Austria against COVID-19 and Türkiye’s"
Complications of SARS-CoV-2 Infection During Cardiac Rehabilitation: A Case Series,https://link.springer.com/article/10.1007/s40119-023-00325-6,"M Zappa, P Verdecchia, A Andolina, A Spanevello… - Cardiology and …, 2023 - Springer",https://link.springer.com/article/10.1007/s40119-023-00325-6,[HTML] springer.com,https://scholar.google.com/citations?user=2D9Md8EAAAAJ&hl=en&oi=sra,2 days ago,"acute respiratory syndrome coronavirus-2 (SARS-CoV-2) infection and  
COVID-19 [8], we report a case series of nine hospitalized patients who developed a SARS-CoV-2"
Ankara'da Yaşayan Antrenörlerin COVID-19 Salgınına Yönelik Algı ve Tutumlarının İncelenmesi,https://dergipark.org.tr/en/pub/comusbd/issue/78982/1255999,"Y AKINCI, NR AYVAZOGLU, A YAPAR - Çanakkale Onsekiz Mart … - dergipark.org.tr",https://dergipark.org.tr/en/download/article-file/2972738,[PDF] dergipark.org.tr,https://scholar.google.com/citations?user=0G8Cqh4AAAAJ&hl=en&oi=sra,2 days ago,"Willingness to receive SARS-CoV-2 vaccination and associated factors among 
… the initial stage of the 2019 coronavirus disease (COVID-19) epidemic among the general"
COVID-19 Pandemisini Durdurmaya Yönelik Tedbirlerin Çocuk Sağlığına Etkileri: Tüm Yönleriyle,https://dergipark.org.tr/en/pub/jnef/issue/78969/1327409,"Z AKÖZLÜ, B MUTLU - Etkili Hemşirelik Dergisi - dergipark.org.tr",https://dergipark.org.tr/en/download/article-file/3264137,[PDF] dergipark.org.tr,,2 days ago,"coronavirus-2) olarak tanımlanmış, etkenin oluşturduğu hastalık ise COVID-19 
(coronavirus  Çocuklarda SARS-CoV-2 enfeksiyonunun erişkinlere göre daha hafif seyrettiği"
