Title1,Title_URL,authors,paper_link,type,Scholarlink,time_since_pull,query_text_match,Keyword
Exploring barriers in supply chain disaster management using fuzzy total interpretative structure modeling approach: Insight from Thai automotive industry,https://www.sciencedirect.com/science/article/pii/S1029313223000568,"D Sumrit, O Jongprasittiphol - Asia Pacific Management Review, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1029313223000568,[HTML] sciencedirect.com,,2 days ago,"the coronavirus disease 2019 (COVID-19) pandemic, emerging infectious 
diseases, natural catastrophes, and the Ukraine-Russia war. These unprecedented events could",tech
Development of Spray Dried Spirulina Protein-Berry Pomace Polyphenol Particles to Attenuate Pollution-Induced Skin Damage: A Convergent Food-Beauty …,https://www.mdpi.com/2076-3921/12/7/1431,"RT Hoskin, MH Grace, A Guiotto, A Pecorelli… - Antioxidants, 2023 - mdpi.com",https://www.mdpi.com/2076-3921/12/7/1431,[HTML] mdpi.com,https://scholar.google.com/citations?user=BvCsd-oAAAAJ&hl=en&oi=sra,2 days ago,"such as Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) 
[3,4].  have efficiently improved epidermis structure [19], promoted faster wound healing and",molecules
Are the Post-COVID-19 Posttraumatic Stress Disorder (PTSD) Symptoms Justified by the Effects of COVID-19 on Brain Structure? A Systematic Review,https://www.mdpi.com/2075-4426/13/7/1140,"GD Kotzalidis, OM Ferrara, S Margoni… - Journal of Personalized …, 2023 - mdpi.com",https://www.mdpi.com/2075-4426/13/7/1140,[HTML] mdpi.com,,2 days ago,"We suspected that the coronavirus somehow induces brain morphological and 
… Brain autopsy, microscopic analysis of brain, and SARS-CoV-2 CSF PCR were performed",symptoms
Role of the Renin-Angiotensin System in Long COVID's Cardiovascular Injuries,https://www.mdpi.com/2227-9059/11/7/2004,"E Cojocaru, C Cojocaru, CE Vlad, L Eva - Biomedicines, 2023 - mdpi.com",https://www.mdpi.com/2227-9059/11/7/2004,[HTML] mdpi.com,https://scholar.google.com/citations?user=9E85nUAAAAAJ&hl=en&oi=sra,2 days ago,"COVID-19, the disease caused by the novel coronavirus  the Long COVID 
definition: “Long COVID is broadly  develop after initial COVID-19 or SARS-CoV-2 infection.",molecules
Multidimensional Machine Learning Model to Calculate a COVID-19 Vulnerability Index,https://www.mdpi.com/2075-4426/13/7/1141,"PA Rosero Perez, JS Realpe Gonzalez… - Journal of Personalized …, 2023 - mdpi.com",https://www.mdpi.com/2075-4426/13/7/1141,[HTML] mdpi.com,,2 days ago,"COVID-19 is a disease caused by a virus called SARS-CoV-2, which was 
first reported on December 31, 2019, upon warning of a cluster of viral pneumonia cases in",tech
Complications of SARS-CoV-2 Infection During Cardiac Rehabilitation: A Case Series,https://link.springer.com/article/10.1007/s40119-023-00325-6,"M Zappa, P Verdecchia, A Andolina, A Spanevello… - Cardiology and …, 2023 - Springer",https://link.springer.com/article/10.1007/s40119-023-00325-6,[HTML] springer.com,https://scholar.google.com/citations?user=2D9Md8EAAAAJ&hl=en&oi=sra,2 days ago,"acute respiratory syndrome coronavirus-2 (SARS-CoV-2) infection and  
COVID-19 [8], we report a case series of nine hospitalized patients who developed a SARS-CoV-2",long_covid
Risk Assessment of the Possible Intermediate Host Role of Pigs for Coronaviruses with a Deep Learning Predictor,https://www.mdpi.com/1999-4915/15/7/1556,"S Jiang, S Zhang, X Kang, Y Feng, Y Li, M Nie, Y Li… - Viruses, 2023 - mdpi.com",https://www.mdpi.com/1999-4915/15/7/1556,[HTML] mdpi.com,,2 days ago,"The ongoing global COVID-19 pandemic, caused by the pathogenic agent 
of severe acute respiratory syndrome coronavirus (CoV) 2 (SARS-CoV-2) has still been",misc
Araucaria heterophylla oleogum resin essential oil is a novel aldose reductase and butyryl choline esterase enzymes inhibitor: in vitro and in silico evidence,https://www.nature.com/articles/s41598-023-38143-4,"AF Soliman, MA Sabry, G Abdelwahab - Scientific Reports, 2023 - nature.com",https://www.nature.com/articles/s41598-023-38143-4,[HTML] nature.com,https://scholar.google.com/citations?user=bd3AIo4AAAAJ&hl=en&oi=sra,2 days ago,"thus the life cycle of the coronaviruses. It is considered one  anti-inflammatory 
and anti-COVID-19 leads based on the  inhibitory activity against SARS-CoV-2 M pro enzyme",clinical_trial
"Maternal and neonatal outcomes of COVID-19 vaccination during pregnancy, a systematic review and meta-analysis",https://www.nature.com/articles/s41541-023-00698-8,"G Marchand, AT Masoud, S Grover, A King, G Brazil… - npj Vaccines, 2023 - nature.com",https://www.nature.com/articles/s41541-023-00698-8,[HTML] nature.com,https://scholar.google.com/citations?user=fS5rYdUAAAAJ&hl=en&oi=sra,2 days ago,"Coronavirus 2 (SARS-CoV-2) has the potential to considerably reduce the burden 
of Coronavirus disease 2019 (COVID-19)  reduced incidence of SARS-CoV-2 infection in",tech
SARS-CoV-2 breakthrough infections after COVID-19 vaccination in patients with inflammatory bowel disease: a systematic review and meta-analysis,https://journals.sagepub.com/doi/abs/10.1177/17562848231174295,"N van de Pol, Q Pan, LAAP Derikx… - Therapeutic …, 2023 - journals.sagepub.com",https://journals.sagepub.com/doi/full/10.1177/17562848231174295,[HTML] sagepub.com,,2 days ago,"Since the start of the coronavirus disease (COVID-19) pandemic caused by 
SARS-CoV-2  Initial concerns on an increased risk of COVID-19 infections and a more severe",tech
