Title1,Title_URL,authors,paper_link,type,Scholarlink,time_since_pull,query_text_match,Keyword
Exploring barriers in supply chain disaster management using fuzzy total interpretative structure modeling approach: Insight from Thai automotive industry,https://www.sciencedirect.com/science/article/pii/S1029313223000568,"D Sumrit, O Jongprasittiphol - Asia Pacific Management Review, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1029313223000568,[HTML] sciencedirect.com,,2 days ago,"the coronavirus disease 2019 (COVID-19) pandemic, emerging infectious 
diseases, natural catastrophes, and the Ukraine-Russia war. These unprecedented events could",tech
Alpha and Delta variants and vaccination effectiveness against severity in COVID-19 inpatients based on medical claims in Japan,https://www.jstage.jst.go.jp/article/ghmo/advpub/0/advpub_2023.01005/_article/-char/ja/,"S Mitsushima, H Horiguchi, K Taniguchi - GHM Open, 2023 - jstage.jst.go.jp",,,https://scholar.google.com/citations?user=mhIGTd0AAAAJ&hl=en&oi=sra,2 days ago,"Some mutated strains of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) 
presumably have high infectivity and pathogenicity. Using Japanese medical",tech
Development of Spray Dried Spirulina Protein-Berry Pomace Polyphenol Particles to Attenuate Pollution-Induced Skin Damage: A Convergent Food-Beauty …,https://www.mdpi.com/2076-3921/12/7/1431,"RT Hoskin, MH Grace, A Guiotto, A Pecorelli… - Antioxidants, 2023 - mdpi.com",https://www.mdpi.com/2076-3921/12/7/1431,[HTML] mdpi.com,https://scholar.google.com/citations?user=BvCsd-oAAAAJ&hl=en&oi=sra,2 days ago,"such as Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) 
[3,4].  have efficiently improved epidermis structure [19], promoted faster wound healing and",molecules
Are the Post-COVID-19 Posttraumatic Stress Disorder (PTSD) Symptoms Justified by the Effects of COVID-19 on Brain Structure? A Systematic Review,https://www.mdpi.com/2075-4426/13/7/1140,"GD Kotzalidis, OM Ferrara, S Margoni… - Journal of Personalized …, 2023 - mdpi.com",https://www.mdpi.com/2075-4426/13/7/1140,[HTML] mdpi.com,,2 days ago,"We suspected that the coronavirus somehow induces brain morphological and 
… Brain autopsy, microscopic analysis of brain, and SARS-CoV-2 CSF PCR were performed",symptoms
Role of the Renin-Angiotensin System in Long COVID's Cardiovascular Injuries,https://www.mdpi.com/2227-9059/11/7/2004,"E Cojocaru, C Cojocaru, CE Vlad, L Eva - Biomedicines, 2023 - mdpi.com",https://www.mdpi.com/2227-9059/11/7/2004,[HTML] mdpi.com,https://scholar.google.com/citations?user=9E85nUAAAAAJ&hl=en&oi=sra,2 days ago,"COVID-19, the disease caused by the novel coronavirus  the Long COVID 
definition: “Long COVID is broadly  develop after initial COVID-19 or SARS-CoV-2 infection.",molecules
Multidimensional Machine Learning Model to Calculate a COVID-19 Vulnerability Index,https://www.mdpi.com/2075-4426/13/7/1141,"PA Rosero Perez, JS Realpe Gonzalez… - Journal of Personalized …, 2023 - mdpi.com",https://www.mdpi.com/2075-4426/13/7/1141,[HTML] mdpi.com,,2 days ago,"COVID-19 is a disease caused by a virus called SARS-CoV-2, which was 
first reported on December 31, 2019, upon warning of a cluster of viral pneumonia cases in",tech
The Fight Against Covid-19 in Slovakia and Austria: Lessons for and from Turkey,https://dergipark.org.tr/en/pub/pjess/issue/78984/1258378,"O ERDOĞAN, E AKMAN, C BABAOĞLU - Pamukkale Journal of Eurasian … - dergipark.org.tr",https://dergipark.org.tr/en/download/article-file/2982219,[PDF] dergipark.org.tr,,2 days ago,"In this study, the coronavirus policies of Slovakia and  the mortality rate from 
Covid-19 low compared to other  of Slovakia and Austria against COVID-19 and Türkiye’s",tech
Complications of SARS-CoV-2 Infection During Cardiac Rehabilitation: A Case Series,https://link.springer.com/article/10.1007/s40119-023-00325-6,"M Zappa, P Verdecchia, A Andolina, A Spanevello… - Cardiology and …, 2023 - Springer",https://link.springer.com/article/10.1007/s40119-023-00325-6,[HTML] springer.com,https://scholar.google.com/citations?user=2D9Md8EAAAAJ&hl=en&oi=sra,2 days ago,"acute respiratory syndrome coronavirus-2 (SARS-CoV-2) infection and  
COVID-19 [8], we report a case series of nine hospitalized patients who developed a SARS-CoV-2",long_covid
Risk Assessment of the Possible Intermediate Host Role of Pigs for Coronaviruses with a Deep Learning Predictor,https://www.mdpi.com/1999-4915/15/7/1556,"S Jiang, S Zhang, X Kang, Y Feng, Y Li, M Nie, Y Li… - Viruses, 2023 - mdpi.com",https://www.mdpi.com/1999-4915/15/7/1556,[HTML] mdpi.com,,2 days ago,"The ongoing global COVID-19 pandemic, caused by the pathogenic agent 
of severe acute respiratory syndrome coronavirus (CoV) 2 (SARS-CoV-2) has still been",misc
2 Single-Molecule Detection by Solid-State Nanopores,https://books.google.com/books?hl=en&lr=&id=LXHLEAAAQBAJ&oi=fnd&pg=PA49&dq=covid+19+++%22sars-cov-2%22+++coronavirus&ots=lewiVFdMZM&sig=XaNhdaBoNd05Etvsc-lmEAYiJeM,"CY Lee, A Alizadeh, H Daiguji… - … Detection and Analysis …, 2023 - books.google.com",,,https://scholar.google.com/citations?user=3HVffWAAAAAJ&hl=en&oi=sra,2 days ago,"In the post-COVID-19 era, exploring simple and fast molecular sequencing 
alternatives to labor-intensive PCR testing is important for determining preventive measures for",detection
10 SERS Analysis for Single,https://books.google.com/books?hl=en&lr=&id=LXHLEAAAQBAJ&oi=fnd&pg=PA275&dq=covid+19+++%22sars-cov-2%22+++coronavirus&ots=lewiVFdMZM&sig=XixaeqwKCE43Ic0Z2sQwDS2GTeE,"MM Meenakshi, G Annasamy, P Kaavya… - Single Biomolecule …, 2023 - books.google.com",,,,2 days ago,"the SERS enhancement factor of 109 [19]. Au nano bowtie  for identifying a 
single SARS CoV-2 virus by selectively  care (PoC) diagnosis of Covid-19-A minireview. Trends",tech
Policy Analysis in Argentina,https://books.google.com/books?hl=en&lr=&id=yXbLEAAAQBAJ&oi=fnd&pg=PA207&dq=covid+19+++%22sars-cov-2%22+++coronavirus&ots=Lhgj8XSmZO&sig=fcef1yo57XWzl48TDeoUt0lsDm8,"D Index - Policy Analysis in Argentina, 2023 - books.google.com",,,,2 days ago,", for example, having been infected with SARS-CoV-2 and having one dose of 
a two-… implementation of health policies during the COVID-19 pandemic. Thus, the national",tech
COVID-19 Complications in a Newly Diagnosed HIV Patient: A Case of Multiple Herpesvirus Reactivation and HLH Post-ART Initiation,https://pubmed.ncbi.nlm.nih.gov/37452490/,"S Davari, PS Taunk, T Madaline - The American journal of …, 2023 - pubmed.ncbi.nlm.nih.gov",,,,2 days ago,"Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) can  SARS-CoV-2. 
The optimal timeline for initiating antiretroviral therapy (ART) in patients with severe SARS-CoV-2",other_conditions
Revista_EaD_&_Tecnologias_Digitais_v. 11_n. 13_Jun_2023. 1,https://ojs.ufgd.edu.br/index.php/ead/article/download/17334/9565,"MAR Paulo, EN de Oliveira - EaD & Tecnologias Digitais na …, 2023 - ojs.ufgd.edu.br",https://ojs.ufgd.edu.br/index.php/ead/article/download/17334/9565,[PDF] ufgd.edu.br,https://scholar.google.com/citations?user=0_kxrMoAAAAJ&hl=en&oi=sra,2 days ago,"prazo quando se ofereceu Ensino Remoto Emergencial – ERE, mediados 
por tecnologias digitais, em virtude do distanciamento social associado pandemia da Covid-19,",tech
